police4_signer1_rep1_glosses/glosses0000 | ΓΕΙΑ
police4_signer1_rep1_glosses/glosses0001 | ΕΓΩ
police4_signer1_rep1_glosses/glosses0002 | ΜΠΟΡΩ
police4_signer1_rep1_glosses/glosses0003 | ΒΟΗΘΕΙΑ
police4_signer1_rep1_glosses/glosses0004 | ΠΩΣ;
police4_signer1_rep1_glosses/glosses0005 | ΕΓΩ
police4_signer1_rep1_glosses/glosses0007 | ΤΑΥΤΟΤΗΤΑ
police4_signer1_rep1_glosses/glosses0008 | ΕΓΩ
police4_signer1_rep1_glosses/glosses0009 | ΧΑΝΩ
police4_signer1_rep1_glosses/glosses0010 | ΠΑ
police4_signer1_rep1_glosses/glosses0011 | ΕΣΥ
police4_signer1_rep1_glosses/glosses0012 | ΤΑΥΤΟΤΗΤΑ
police4_signer1_rep1_glosses/glosses0013 | ΧΑΝΩ
police4_signer1_rep1_glosses/glosses0014 | ΠΩΣ;
police4_signer1_rep1_glosses/glosses0015 | ΚΑΠΟΙΟΣ
police4_signer1_rep1_glosses/glosses0016 | ΤΣΑΝΤΑ
police4_signer1_rep1_glosses/glosses0017 | ΕΓΩ
police4_signer1_rep1_glosses/glosses0018 | ???
police4_signer1_rep1_glosses/glosses0019 | ΠΑ
police4_signer1_rep1_glosses/glosses0020 | ΠΡΕΠΕΙ
police4_signer1_rep1_glosses/glosses0021 | ΕΣΥ
police4_signer1_rep1_glosses/glosses0022 | ΑΙΤΗΣΗ
police4_signer1_rep1_glosses/glosses0023 | ΓΡΑΦΩ
police4_signer1_rep1_glosses/glosses0024 | ΛΟΓΩ
police4_signer1_rep1_glosses/glosses0025 | ΤΑΥΤΟΤΗΤΑ
police4_signer1_rep1_glosses/glosses0026 | ΧΑΝΩ
police4_signer1_rep1_glosses/glosses0027 | ΝΑΙ
police4_signer1_rep1_glosses/glosses0028 | ΕΣΥ
police4_signer1_rep1_glosses/glosses0029 | ΓΡΑΦΩ
police4_signer1_rep1_glosses/glosses0030 | ΕΓΙΝΕ
police4_signer1_rep1_glosses/glosses0031 | ΤΙ;
police4_signer1_rep1_glosses/glosses0032 | ΑΚΡΙΒΩΣ
police4_signer1_rep1_glosses/glosses0033 | ΛΕΠΤΟΜΕΡΕΙΕΣ
police4_signer1_rep1_glosses/glosses0034 | ΕΝΤΑΞΕΙ
police4_signer1_rep1_glosses/glosses0035 | ΓΡΑΦΩ
police4_signer1_rep1_glosses/glosses0036 | ΠΑ
police4_signer1_rep1_glosses/glosses0037 | ΤΑΥΤΟΤΗΤΑ
police4_signer1_rep1_glosses/glosses0038 | ΚΑΙΝΟΥΡΙΟ
police4_signer1_rep1_glosses/glosses0039 | ΕΣΥ
police4_signer1_rep1_glosses/glosses0040 | ΜΑΡΤΥΡΑΣ
police4_signer1_rep1_glosses/glosses0041 | ΧΡΕΙΑΖΟΜΑΙ
police4_signer1_rep1_glosses/glosses0042 | ΦΥΣΙΚΑ
police4_signer1_rep1_glosses/glosses0043 | ΕΓΩ
police4_signer1_rep1_glosses/glosses0044 | ???
police4_signer1_rep1_glosses/glosses0045 | ΦΙΛΟΣ
police4_signer1_rep1_glosses/glosses0046 | ΕΓΩ
police4_signer1_rep1_glosses/glosses0047 | ΧΡΕΙΑΖΟΜΑΙ
police4_signer1_rep1_glosses/glosses0048 | ΠΡΩΤΟΝ
police4_signer1_rep1_glosses/glosses0049 | 2
police4_signer1_rep1_glosses/glosses0050 | ΦΩΤΟΓΡΑΦΙΑ
police4_signer1_rep1_glosses/glosses0051 | ΓΙΑ
police4_signer1_rep1_glosses/glosses0052 | ΤΑΥΤΟΤΗΤΑ
police4_signer1_rep1_glosses/glosses0053 | ΔΕΥΤΕΡΟΝ
police4_signer1_rep1_glosses/glosses0054 | ΑΙΤΗΣΗ
police4_signer1_rep1_glosses/glosses0055 | ΤΡΙΤΟΝ
police4_signer1_rep1_glosses/glosses0056 | ΕΥΘΥΝΗ
police4_signer1_rep1_glosses/glosses0057 | ΥΠΟΓΡΑΦΗ
police4_signer1_rep1_glosses/glosses0058 | ΤΕΤΑΡΤΟΝ
police4_signer1_rep1_glosses/glosses0059 | ΜΑΡΤΥΡΑΣ
police4_signer1_rep1_glosses/glosses0060 | ΤΑΥΤΟΤΗΤΑ
police4_signer1_rep1_glosses/glosses0061 | ΔΙΚΟ_ΤΟΥ
police4_signer1_rep1_glosses/glosses0062 | ΠΕΜΠΤΟΝ
police4_signer1_rep1_glosses/glosses0063 | ΜΑΡΤΥΡΑΣ
police4_signer1_rep1_glosses/glosses0064 | ΥΠΟΓΡΑΦΗ
police4_signer1_rep1_glosses/glosses0065 | ΔΙΚΟ_ΤΟΥ
police4_signer1_rep1_glosses/glosses0066 | ΕΝΤΑΞΕΙ
police4_signer1_rep1_glosses/glosses0067 | ΕΥΧΑΡΙΣΤΩ
police4_signer1_rep1_glosses/glosses0068 | ΠΟΛΥ
police4_signer1_rep1_glosses/glosses0069 | ΠΑΡΑΚΑΛΩ
police4_signer1_rep1_glosses/glosses0070 | ΚΑΛΟ
police4_signer1_rep1_glosses/glosses0071 | ΣΥΝΕΧΕΙΑ
police4_signer1_rep2_glosses/glosses0000 | ΓΕΙΑ
police4_signer1_rep2_glosses/glosses0001 | ΕΓΩ
police4_signer1_rep2_glosses/glosses0002 | ΜΠΟΡΩ
police4_signer1_rep2_glosses/glosses0003 | ΒΟΗΘΕΙΑ
police4_signer1_rep2_glosses/glosses0004 | ΠΩΣ;
police4_signer1_rep2_glosses/glosses0005 | ΕΓΩ
police4_signer1_rep2_glosses/glosses0006 | ΤΑΥΤΟΤΗΤΑ
police4_signer1_rep2_glosses/glosses0007 | ΕΓΩ
police4_signer1_rep2_glosses/glosses0008 | ΧΑΝΩ
police4_signer1_rep2_glosses/glosses0009 | ΠΑ
