health2_signer1_rep1_glosses/glosses0000 | ΓΕΙΑ
health2_signer1_rep1_glosses/glosses0001 | ΕΣΥ
health2_signer1_rep1_glosses/glosses0002 | ΠΡΟΒΛΗΜΑ
health2_signer1_rep1_glosses/glosses0003 | ΤΙ;
health2_signer1_rep1_glosses/glosses0004 | ΕΓΩ
health2_signer1_rep1_glosses/glosses0005 | ΝΙΩΘΩ
health2_signer1_rep1_glosses/glosses0006 | ΚΑΛΑ_ΔΕΝ
health2_signer1_rep1_glosses/glosses0007 | ΕΓΩ
health2_signer1_rep1_glosses/glosses0008 | ΕΜΕΤΟΣ
health2_signer1_rep1_glosses/glosses0009 | ΣΥΝ
health2_signer1_rep1_glosses/glosses0010 | ΔΙΑΡΡΟΙΑ
health2_signer1_rep1_glosses/glosses0011 | ΕΣΥ
health2_signer1_rep1_glosses/glosses0012 | ΔΙΑΡΡΟΙΑ
health2_signer1_rep1_glosses/glosses0013 | ΑΡΧΙΖΩ
health2_signer1_rep1_glosses/glosses0014 | ???
health2_signer1_rep1_glosses/glosses0015 | ΜΕΡΕΣ_ΤΡΕΙΣ
health2_signer1_rep1_glosses/glosses0016 | ΕΣΥ
health2_signer1_rep1_glosses/glosses0017 | ΠΟΝΟΣ
health2_signer1_rep1_glosses/glosses0018 | ΠΟΥ;
health2_signer1_rep1_glosses/glosses0019 | ΕΓΩ
health2_signer1_rep1_glosses/glosses0020 | ΣΤΟΜΑΧΙ
health2_signer1_rep1_glosses/glosses0021 | ΠΟΝΑΩ
health2_signer1_rep1_glosses/glosses0022 | ΕΣΥ
health2_signer1_rep1_glosses/glosses0023 | ΠΥΡΕΤΟΣ
health2_signer1_rep1_glosses/glosses0024 | ΕΧΩ
health2_signer1_rep1_glosses/glosses0025 | ΝΑΙ
health2_signer1_rep1_glosses/glosses0026 | ΣΥΝ
health2_signer1_rep1_glosses/glosses0027 | ΕΓΩ
health2_signer1_rep1_glosses/glosses0028 | ΖΑΛΙΖΟΜΑΙ
health2_signer1_rep1_glosses/glosses0029 | ΕΣΥ
health2_signer1_rep1_glosses/glosses0030 | ΦΑΡΜΑΚΟ
health2_signer1_rep1_glosses/glosses0031 | ΧΑΠΙ
health2_signer1_rep1_glosses/glosses0032 | ΠΑ
health2_signer1_rep1_glosses/glosses0033 | ΟΧΙ
health2_signer1_rep1_glosses/glosses0034 | ΜΕΡΕΣ_ΤΡΕΙΣ
health2_signer1_rep1_glosses/glosses0035 | ???
health2_signer1_rep1_glosses/glosses0036 | ΕΣΥ
health2_signer1_rep1_glosses/glosses0037 | ΦΑΓΗΤΟ
health2_signer1_rep1_glosses/glosses0038 | ΤΙ;
health2_signer1_rep1_glosses/glosses0039 | ΡΥΖΙ
health2_signer1_rep1_glosses/glosses0040 | ΣΥΝ
health2_signer1_rep1_glosses/glosses0041 | ΜΑΝΙΤΑΡΙΑ
health2_signer1_rep1_glosses/glosses0042 | ΕΣΥ
health2_signer1_rep1_glosses/glosses0043 | ΣΤΟΜΑΧΙ
health2_signer1_rep1_glosses/glosses0044 | ΔΗΛΗΤΗΡΙΑΣΗ
health2_signer1_rep1_glosses/glosses0045 | ΕΣΥ
health2_signer1_rep1_glosses/glosses0046 | ΠΡΕΠΕΙ
health2_signer1_rep1_glosses/glosses0047 | ΠΟΛΥ
health2_signer1_rep1_glosses/glosses0048 | ΝΕΡΟ
health2_signer1_rep1_glosses/glosses0049 | ΣΥΝ
health2_signer1_rep1_glosses/glosses0050 | ???
health2_signer1_rep1_glosses/glosses0051 | ΦΡΟΥΤΑ
health2_signer1_rep1_glosses/glosses0052 | ΜΗ
health2_signer1_rep1_glosses/glosses0053 | ΕΓΩ
health2_signer1_rep1_glosses/glosses0054 | ΚΟΤΟΠΟΥΛΟ
health2_signer1_rep1_glosses/glosses0055 | ΣΥΝ
