kep1_signer1_rep1_glosses/glosses0000 | ΓΕΙΑ
kep1_signer1_rep1_glosses/glosses0001 | ΓΕΙΑ
kep1_signer1_rep1_glosses/glosses0002 | ΕΣΥ
kep1_signer1_rep1_glosses/glosses0003 | ΧΡΕΙΑΖΟΜΑΙ
kep1_signer1_rep1_glosses/glosses0004 | ΒΟΗΘΕΙΑ
kep1_signer1_rep1_glosses/glosses0005 | ΕΓΩ
kep1_signer1_rep1_glosses/glosses0006 | ΘΕΛΩ
kep1_signer1_rep1_glosses/glosses0007 | ΑΥΤΟΚΙΝΗΤΟ
kep1_signer1_rep1_glosses/glosses0008 | ΕΓΩ
kep1_signer1_rep1_glosses/glosses0009 | ΟΝΟΜΑ
kep1_signer1_rep1_glosses/glosses0010 | ΜΕΤΑΦΟΡΑ
kep1_signer1_rep1_glosses/glosses0011 | ΠΟΙΟΣ;
kep1_signer1_rep1_glosses/glosses0012 | ΚΑΙΝΟΥΡΙΟ
kep1_signer1_rep1_glosses/glosses0013 | ΙΔΙΟΚΤΗΤΗΣ
kep1_signer1_rep1_glosses/glosses0014 | ΑΝΔΡΑΣ
kep1_signer1_rep1_glosses/glosses0015 | ΓΕΝΝΩ
kep1_signer1_rep1_glosses/glosses0016 | ΕΓΩ
kep1_signer1_rep1_glosses/glosses0017 | ΕΣΕΙΣ_ΟΙ_ΔΥΟ
kep1_signer1_rep1_glosses/glosses0018 | ΜΑΖΙ
kep1_signer1_rep1_glosses/glosses0019 | ΕΡΧΟΜΑΙ_ΣΕ_ΜΕΝΑ
kep1_signer1_rep1_glosses/glosses0020 | ΕΓΩ
kep1_signer1_rep1_glosses/glosses0021 | ΕΧΩ
kep1_signer1_rep1_glosses/glosses0022 | ΕΥΘΥΝΗ
kep1_signer1_rep1_glosses/glosses0023 | ΥΠΟΓΡΑΦΗ
kep1_signer1_rep1_glosses/glosses0024 | ΑΝΑΘΕΤΩ
kep1_signer1_rep1_glosses/glosses0025 | ΕΣΥ
kep1_signer1_rep1_glosses/glosses0026 | ΑΔΕΙΑ
kep1_signer1_rep1_glosses/glosses0027 | ΑΥΤΟΚΙΝΗΤΟ
kep1_signer1_rep1_glosses/glosses0028 | ΣΥΝ
kep1_signer1_rep1_glosses/glosses0029 | ΚΤΕΟ
kep1_signer1_rep1_glosses/glosses0030 | ΕΧΩ
kep1_signer1_rep1_glosses/glosses0031 | ΕΣΥ
kep1_signer1_rep1_glosses/glosses0032 | ΝΑΙ
kep1_signer1_rep1_glosses/glosses0033 | ΕΓΩ
kep1_signer1_rep1_glosses/glosses0034 | ΧΡΕΙΑΖΟΜΑΙ
kep1_signer1_rep1_glosses/glosses0035 | ΤΑΥΤΟΤΗΤΑ
kep1_signer1_rep1_glosses/glosses0036 | ΔΙΚΟ_ΣΟΥ
kep1_signer1_rep1_glosses/glosses0037 | ΣΥΝ
kep1_signer1_rep1_glosses/glosses0038 | 1
kep1_signer1_rep1_glosses/glosses0039 | ΦΩΤΟΤΥΠΙΑ
kep1_signer1_rep1_glosses/glosses0040 | ΕΓΩ
kep1_signer1_rep1_glosses/glosses0041 | ΤΑΥΤΟΤΗΤΑ
kep1_signer1_rep1_glosses/glosses0042 | ΕΧΩ
