kep5_signer1_rep1_glosses/glosses0000 | ΓΕΙΑ
kep5_signer1_rep1_glosses/glosses0001 | ΜΠΟΡΩ
kep5_signer1_rep1_glosses/glosses0002 | ΒΟΗΘΕΙΑ
kep5_signer1_rep1_glosses/glosses0003 | ΠΩΣ;
kep5_signer1_rep1_glosses/glosses0004 | ΘΕΛΩ
kep5_signer1_rep1_glosses/glosses0005 | ΑΙΤΗΣΗ
kep5_signer1_rep1_glosses/glosses0006 | ΕΠΙΔΟΜΑ
kep5_signer1_rep1_glosses/glosses0007 | ΓΙΑ
kep5_signer1_rep1_glosses/glosses0008 | ΓΕΝΝΩ
kep5_signer1_rep1_glosses/glosses0009 | ΜΕΤΑ
kep5_signer1_rep1_glosses/glosses0010 | ΓΥΝΑΙΚΑ
kep5_signer1_rep1_glosses/glosses0011 | ΔΙΚΟΣ_ΣΟΥ
kep5_signer1_rep1_glosses/glosses0012 | ΓΕΝΝΩ
kep5_signer1_rep1_glosses/glosses0013 | ???
kep5_signer1_rep1_glosses/glosses0014 | ΔΟΥΛΕΥΩ
kep5_signer1_rep1_glosses/glosses0015 | ΝΑΙ
kep5_signer1_rep1_glosses/glosses0016 | ΥΠΑΛΛΗΛΟΣ
kep5_signer1_rep1_glosses/glosses0017 | ΙΔΙΟΚΤΗΤΗΣ
kep5_signer1_rep1_glosses/glosses0018 | ΧΡΕΙΑΖΟΜΑΙ
kep5_signer1_rep1_glosses/glosses0019 | ΠΡΩΤΟΝ
kep5_signer1_rep1_glosses/glosses0020 | ΓΙΑΤΡΟΣ
kep5_signer1_rep1_glosses/glosses0021 | ΓΥΝΑΙΚΟΛΟΓΟΣ
kep5_signer1_rep1_glosses/glosses0022 | ΙΚΑ
kep5_signer1_rep1_glosses/glosses0023 | ΒΕΒΑΙΩΣΗ
kep5_signer1_rep1_glosses/glosses0024 | ΓΙΑ
kep5_signer1_rep1_glosses/glosses0025 | ΗΜΕΡΑ
kep5_signer1_rep1_glosses/glosses0026 | ΜΗΝΑΣ
kep5_signer1_rep1_glosses/glosses0027 | ΓΕΝΝΩ
kep5_signer1_rep1_glosses/glosses0028 | ΔΕΥΤΕΡΟΝ
kep5_signer1_rep1_glosses/glosses0029 | ΒΕΒΑΙΩΣΗ
kep5_signer1_rep1_glosses/glosses0030 | ΑΦΕΝΤΙΚΟ
kep5_signer1_rep1_glosses/glosses0031 | ΑΥΤΟ
kep5_signer1_rep1_glosses/glosses0032 | ΧΑΡΤΙ
kep5_signer1_rep1_glosses/glosses0033 | ΕΝΣΗΜΑ
kep5_signer1_rep1_glosses/glosses0034 | ΙΚΑ
kep5_signer1_rep1_glosses/glosses0035 | ΣΦΡΑΓΙΔΑ
kep5_signer1_rep1_glosses/glosses0036 | ΕΓΚΡΙΣΗ
kep5_signer1_rep1_glosses/glosses0037 | ΤΡΙΤΟΝ
kep5_signer1_rep1_glosses/glosses0038 | ΑΦΕΝΤΙΚΟ
kep5_signer1_rep1_glosses/glosses0039 | ΠΡΕΠΕΙ
kep5_signer1_rep1_glosses/glosses0040 | ΑΙΤΗΣΗ
kep5_signer1_rep1_glosses/glosses0041 | ΕΝΣΗΜΑ
kep5_signer1_rep1_glosses/glosses0042 | ΙΚΑ
kep5_signer1_rep1_glosses/glosses0043 | ΓΙΑ
kep5_signer1_rep1_glosses/glosses0044 | ΔΙΑΚΟΠΗ
kep5_signer1_rep1_glosses/glosses0045 | ΔΟΥΛΕΙΑ
kep5_signer1_rep1_glosses/glosses0046 | ΕΓΩ
kep5_signer1_rep1_glosses/glosses0047 | ΧΡΕΙΑΖΟΜΑΙ
kep5_signer1_rep1_glosses/glosses0048 | ΒΕΒΑΙΩΣΗ
kep5_signer1_rep1_glosses/glosses0049 | ΕΝΣΗΜΑ
kep5_signer1_rep1_glosses/glosses0050 | ΙΚΑ
kep5_signer1_rep1_glosses/glosses0051 | ΓΙΑ
kep5_signer1_rep1_glosses/glosses0052 | ΔΙΑΚΟΠΗ
kep5_signer1_rep1_glosses/glosses0053 | ΕΝΤΑΞΕΙ
kep5_signer1_rep1_glosses/glosses0054 | ΜΩΡΟ
kep5_signer1_rep1_glosses/glosses0055 | ΓΕΝΝΩ
kep5_signer1_rep1_glosses/glosses0056 | ΗΜΕΡΑ
kep5_signer1_rep1_glosses/glosses0057 | ΚΑΝΟΝΙΚΑ
kep5_signer1_rep1_glosses/glosses0058 | ΜΩΡΟ
kep5_signer1_rep1_glosses/glosses0059 | ΓΕΝΝΩ
kep5_signer1_rep1_glosses/glosses0060 | ΝΩΡΙΣ
kep5_signer1_rep1_glosses/glosses0061 | ΤΕΤΑΡΤΟΝ
kep5_signer1_rep1_glosses/glosses0062 | ΧΡΕΙΑΖΟΜΑΙ
kep5_signer1_rep1_glosses/glosses0063 | ΣΥΝ
kep5_signer1_rep1_glosses/glosses0064 | ΒΕΒΑΙΩΣΗ
kep5_signer1_rep1_glosses/glosses0065 | ΓΕΝΝΩ
kep5_signer1_rep1_glosses/glosses0066 | ΕΚΕΙ
kep5_signer1_rep1_glosses/glosses0067 | ΓΙΑΤΡΟΣ
kep5_signer1_rep1_glosses/glosses0068 | ΓΕΝΝΩ
kep5_signer1_rep1_glosses/glosses0069 | ΟΚ
kep5_signer1_rep1_glosses/glosses0070 | ΕΠΙΔΟΜΑ
kep5_signer1_rep1_glosses/glosses0071 | ΕΓΩ_ΔΙΝΩ_ΕΣΕΝΑ
kep5_signer1_rep1_glosses/glosses0072 | ???
kep5_signer1_rep1_glosses/glosses0073 | ΜΕΡΑ
kep5_signer1_rep1_glosses/glosses0074 | ΓΕΝΝΩ
kep5_signer1_rep1_glosses/glosses0075 | ΜΕΤΑ
kep5_signer1_rep1_glosses/glosses0076 | 60
kep5_signer1_rep1_glosses/glosses0077 | 3
kep5_signer1_rep1_glosses/glosses0078 | ΜΕΡΕΣ
kep5_signer1_rep1_glosses/glosses0079 | ΚΑΛΟ
kep5_signer1_rep1_glosses/glosses0080 | ΜΗΤΕΡΑ
kep5_signer1_rep1_glosses/glosses0081 | ΑΙΤΗΣΗ
kep5_signer1_rep1_glosses/glosses0082 | ΣΥΜΠΛΗΡΩΝΩ
kep5_signer1_rep1_glosses/glosses0083 | ΓΙΑ
kep5_signer1_rep1_glosses/glosses0084 | ΔΟΥΛΕΙΑ
kep5_signer1_rep1_glosses/glosses0085 | ΑΠΟΥΣΙΑ
kep5_signer1_rep1_glosses/glosses0086 | ΕΝΤΑΞΕΙ
kep5_signer1_rep1_glosses/glosses0087 | ΜΗΤΕΡΑ
kep5_signer1_rep1_glosses/glosses0088 | ΣΥΝ
kep5_signer1_rep1_glosses/glosses0089 | ΗΜΕΡΑ
kep5_signer1_rep1_glosses/glosses0090 | ΜΗΝΑΣ
kep5_signer1_rep1_glosses/glosses0091 | ΔΟΥΛΕΙΑ
kep5_signer1_rep1_glosses/glosses0092 | ΔΙΑΚΟΠΗ
kep5_signer1_rep1_glosses/glosses0093 | ΣΥΜΠΛΗΡΩΝΩ
kep5_signer1_rep1_glosses/glosses0094 | ΦΥΣΙΚΑ
kep5_signer1_rep1_glosses/glosses0095 | ΕΓΩ
kep5_signer1_rep1_glosses/glosses0096 | ΧΡΕΙΑΖΟΜΑΙ
kep5_signer1_rep1_glosses/glosses0097 | ΣΥΝ
kep5_signer1_rep1_glosses/glosses0098 | ΒΙΒΛΙΟ
kep5_signer1_rep1_glosses/glosses0099 | ΥΓΕΙΑ
kep5_signer1_rep1_glosses/glosses0100 | ΜΕΤΑ
kep5_signer1_rep1_glosses/glosses0101 | ΕΓΩ
kep5_signer1_rep1_glosses/glosses0102 | ΒΙΒΛΙΟ
kep5_signer1_rep1_glosses/glosses0103 | ΥΓΕΙΑ
kep5_signer1_rep1_glosses/glosses0104 | ΕΓΩ_ΔΙΝΩ_ΕΣΕΝΑ
kep5_signer1_rep1_glosses/glosses0105 | ΕΓΩ
kep5_signer1_rep1_glosses/glosses0106 | ΤΩΡΑ
kep5_signer1_rep1_glosses/glosses0107 | ΑΙΤΗΣΗ
kep5_signer1_rep1_glosses/glosses0108 | ΔΙΚΟΣ_ΣΟΥ
kep5_signer1_rep1_glosses/glosses0109 | ΚΑΤΑΧΩΡΩ
kep5_signer1_rep1_glosses/glosses0110 | ΜΕΤΑ
kep5_signer1_rep1_glosses/glosses0111 | ΕΣΥ
kep5_signer1_rep1_glosses/glosses0112 | ΒΕΒΑΙΩΣΗ
kep5_signer1_rep1_glosses/glosses0113 | ΕΓΩ_ΔΙΝΩ_ΕΣΕΝΑ
kep5_signer1_rep1_glosses/glosses0114 | ΚΑΛΟ
kep5_signer1_rep1_glosses/glosses0115 | ΕΓΩ
kep5_signer1_rep1_glosses/glosses0116 | ΣΤΕΛΝΩ_ΜΗΝΥΜΑ_ΕΣΕΝΑ
kep5_signer1_rep1_glosses/glosses0117 | ΕΝΗΜΕΡΩΝΩ_ΕΣΕΝΑ
kep5_signer1_rep1_glosses/glosses0118 | ΕΥΧΑΡΙΣΤΩ
kep5_signer1_rep1_glosses/glosses0119 | ΠΟΛΥ
kep5_signer1_rep1_glosses/glosses0120 | ΠΑΡΑΚΑΛΩ
kep5_signer1_rep1_glosses/glosses0121 | ΓΕΙΑ
kep5_signer1_rep2_glosses/glosses0000 | ΓΕΙΑ
kep5_signer1_rep2_glosses/glosses0001 | ΜΠΟΡΩ
kep5_signer1_rep2_glosses/glosses0002 | ΒΟΗΘΕΙΑ
kep5_signer1_rep2_glosses/glosses0003 | ΠΩΣ;
kep5_signer1_rep2_glosses/glosses0004 | ΘΕΛΩ
kep5_signer1_rep2_glosses/glosses0005 | ΑΙΤΗΣΗ
kep5_signer1_rep2_glosses/glosses0006 | ΕΠΙΔΟΜΑ
kep5_signer1_rep2_glosses/glosses0007 | ΓΙΑ
kep5_signer1_rep2_glosses/glosses0008 | ΓΕΝΝΩ
