health3_signer1_rep1_glosses/glosses0000 | ΓΕΙΑ
health3_signer1_rep1_glosses/glosses0001 | ΕΓΩ
health3_signer1_rep1_glosses/glosses0002 | ΜΠΟΡΩ
health3_signer1_rep1_glosses/glosses0003 | ΒΟΗΘΕΙΑ
health3_signer1_rep1_glosses/glosses0004 | ΠΩΣ;
health3_signer1_rep1_glosses/glosses0005 | ΕΓΩ
health3_signer1_rep1_glosses/glosses0006 | ΘΕΛΩ
health3_signer1_rep1_glosses/glosses0007 | ΒΙΒΛΙΟ
health3_signer1_rep1_glosses/glosses0008 | ΣΦΡΑΓΙΔΑ
health3_signer1_rep1_glosses/glosses0009 | ΓΙΑ
health3_signer1_rep1_glosses/glosses0010 | ΜΗΧΑΝΗ
health3_signer1_rep1_glosses/glosses0011 | ΣΥΝ
health3_signer1_rep1_glosses/glosses0012 | ΧΑΡΤΙ
health3_signer1_rep1_glosses/glosses0013 | ΕΓΚΡΙΣΗ
health3_signer1_rep1_glosses/glosses0014 | ΓΙΑΤΡΟΣ
health3_signer1_rep1_glosses/glosses0015 | ΧΡΕΙΑΖΟΜΑΙ
health3_signer1_rep1_glosses/glosses0016 | ΕΣΥ
health3_signer1_rep1_glosses/glosses0017 | ΑΥΤΟΚΙΝΗΤΟ
health3_signer1_rep1_glosses/glosses0018 | ΒΙΒΛΙΟ
health3_signer1_rep1_glosses/glosses0019 | ΣΦΡΑΓΙΔΑ
health3_signer1_rep1_glosses/glosses0020 | ΕΧΩ
health3_signer1_rep1_glosses/glosses0021 | ΠΑ
health3_signer1_rep1_glosses/glosses0022 | ΝΑΙ
health3_signer1_rep1_glosses/glosses0023 | ΕΣΥ_ΔΙΝΩ_ΕΜΕΝΑ
health3_signer1_rep1_glosses/glosses0024 | ΑΚΟΥΟΓΡΑΜΜΑ
health3_signer1_rep1_glosses/glosses0025 | ΔΙΚΟ_ΣΟΥ
health3_signer1_rep1_glosses/glosses0026 | ΠΑ
health3_signer1_rep1_glosses/glosses0027 | ΟΧΙ
health3_signer1_rep1_glosses/glosses0028 | ΕΣΥ
health3_signer1_rep1_glosses/glosses0029 | ΑΚΟΥΟΓΡΑΜΜΑ
health3_signer1_rep1_glosses/glosses0030 | ΑΥΤΗ_ΤΗ_ΣΤΙΓΜΗ
health3_signer1_rep1_glosses/glosses0031 | ΕΔΩ
health3_signer1_rep1_glosses/glosses0032 | ΚΑΛΟ
health3_signer1_rep1_glosses/glosses0033 | ΑΥΤΙ
health3_signer1_rep1_glosses/glosses0034 | ΑΚΟΥΩ_ΜΕΙΩΝΩ
health3_signer1_rep1_glosses/glosses0035 | ΠΩΣ;
health3_signer1_rep1_glosses/glosses0036 | ΑΡΡΩΣΤΟΣ
health3_signer1_rep1_glosses/glosses0037 | ΒΑΡΙΑ
health3_signer1_rep1_glosses/glosses0038 | ΑΡΡΩΣΤΟΣ
health3_signer1_rep1_glosses/glosses0039 | ???
health3_signer1_rep1_glosses/glosses0040 | ΕΓΩ
health3_signer1_rep1_glosses/glosses0041 | ΑΡΡΩΣΤΟΣ
health3_signer1_rep1_glosses/glosses0042 | ΜΩΡΟ
health3_signer1_rep1_glosses/glosses0043 | ΧΑΡΤΙ
health3_signer1_rep1_glosses/glosses0044 | ΕΓΚΡΙΣΗ
health3_signer1_rep1_glosses/glosses0045 | ΕΤΟΙΜΟ
health3_signer1_rep1_glosses/glosses0046 | ΣΤΕΛΝΩ_ΜΗΝΥΜΑ_ΕΣΕΝΑ
health3_signer1_rep1_glosses/glosses0047 | ΕΥΧΑΡΙΣΤΩ
health3_signer1_rep1_glosses/glosses0048 | ΠΟΛΥ
health3_signer1_rep1_glosses/glosses0049 | ΚΑΛΟ
health3_signer1_rep1_glosses/glosses0050 | ΣΥΝΕΧΕΙΑ
health3_signer1_rep2_glosses/glosses0000 | ΓΕΙΑ
health3_signer1_rep2_glosses/glosses0001 | ΕΓΩ
health3_signer1_rep2_glosses/glosses0002 | ΜΠΟΡΩ
health3_signer1_rep2_glosses/glosses0003 | ΒΟΗΘΕΙΑ
health3_signer1_rep2_glosses/glosses0004 | ΠΩΣ;
health3_signer1_rep2_glosses/glosses0005 | ΕΓΩ
health3_signer1_rep2_glosses/glosses0006 | ΘΕΛΩ
health3_signer1_rep2_glosses/glosses0007 | ΒΙΒΛΙΟ
health3_signer1_rep2_glosses/glosses0008 | ΣΦΡΑΓΙΔΑ
health3_signer1_rep2_glosses/glosses0009 | ΓΙΑ
health3_signer1_rep2_glosses/glosses0010 | ΜΗΧΑΝΗ
health3_signer1_rep2_glosses/glosses0011 | ΣΥΝ
health3_signer1_rep2_glosses/glosses0012 | ΧΑΡΤΙ
health3_signer1_rep2_glosses/glosses0013 | ΕΓΚΡΙΣΗ
health3_signer1_rep2_glosses/glosses0014 | ΓΙΑΤΡΟΣ
health3_signer1_rep2_glosses/glosses0015 | ΧΡΕΙΑΖΟΜΑΙ
health3_signer1_rep2_glosses/glosses0016 | ΕΣΥ
health3_signer1_rep2_glosses/glosses0017 | ΑΥΤΟΚΙΝΗΤΟ
health3_signer1_rep2_glosses/glosses0018 | ΒΙΒΛΙΟ
health3_signer1_rep2_glosses/glosses0019 | ΣΦΡΑΓΙΔΑ
health3_signer1_rep2_glosses/glosses0020 | ΕΧΩ
health3_signer1_rep2_glosses/glosses0021 | ΠΑ
health3_signer1_rep2_glosses/glosses0022 | ΝΑΙ
health3_signer1_rep2_glosses/glosses0023 | ΕΣΥ_ΔΙΝΩ_ΕΜΕΝΑ
health3_signer1_rep2_glosses/glosses0024 | ΑΚΟΥΟΓΡΑΜΜΑ
health3_signer1_rep2_glosses/glosses0025 | ΔΙΚΟ_ΣΟΥ
health3_signer1_rep2_glosses/glosses0026 | ΠΑ
health3_signer1_rep2_glosses/glosses0027 | ΟΧΙ
health3_signer1_rep2_glosses/glosses0028 | ΕΣΥ
health3_signer1_rep2_glosses/glosses0029 | ΑΚΟΥΟΓΡΑΜΜΑ
health3_signer1_rep2_glosses/glosses0030 | ΑΥΤΗ_ΤΗ_ΣΤΙΓΜΗ
health3_signer1_rep2_glosses/glosses0031 | ΕΔΩ
health3_signer1_rep2_glosses/glosses0032 | ΚΑΛΟ
